strategy,algorithm,query_row_index,query_book_id,query_title,query_course_id,predicted_classes,top_result_row_index,top_result_book_id,top_result_course_id,precision@1,recall@1,f1@1,hit@1,precision@3,recall@3,f1@3,hit@3,precision@5,recall@5,f1@5,hit@5,mrr
hybrid_top2,ann,707,708,ไมโครโปรเซสเซอร์ หลักและการประยุกต์ใช้งาน,2,10:0.700194|2:0.238287,717,718,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.02564102564102564,0.045454545454545456,1.0,0.2
hybrid_top2,ann,368,369,การประมวลแฟ้มข้อมูล FILE PROCESSING,9,1:0.981324|8:0.016501,674,675,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hybrid_top2,ann,117,118,พื้นฐานการจัดการฐานข้อมูล (รหัสวิชา 2128-2008),12,12:0.998398|1:0.000836,351,352,12,1.0,0.022727272727272728,0.044444444444444446,1.0,1.0,0.06818181818181818,0.1276595744680851,1.0,1.0,0.11363636363636363,0.20408163265306123,1.0,1.0
hybrid_top2,ann,159,160,Arduino Uno + ตัวอย่างงาน IoT,15,10:0.999999|15:0.000001,88,89,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.13333333333333333,1.0,0.2
hybrid_top2,ann,389,390,ทฤษฎีกราฟเบื้องต้น,9,6:0.999995|1:0.000003,48,49,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hybrid_top2,ann,379,380,การวิเคราะห์และออกแบบระบบสารสนเทศ Information systems : structured analysis & design,8,22:0.721513|13:0.215142,134,135,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hybrid_top2,ann,180,181,Maya 3D Special Effect,17,17:0.999955|18:0.000029,181,182,17,1.0,0.06666666666666667,0.125,1.0,1.0,0.2,0.33333333333333337,1.0,0.8,0.26666666666666666,0.4,1.0,1.0
hybrid_top2,ann,639,640,การเขียนโปรแกรมภาษาปาสคาล Computer programming with Pascal,1,1:0.999812|7:0.000096,565,566,1,1.0,0.009900990099009901,0.0196078431372549,1.0,1.0,0.0297029702970297,0.05769230769230769,1.0,1.0,0.04950495049504951,0.09433962264150944,1.0,1.0
hybrid_top2,ann,661,662,ถาม-ตอบ ปัญหาคอมพิวเตอร์ : ยกระดับมาตรฐานฝีมือช่างเทคนิคคอมพิวเตอร์มืออาชีพ,4,4:0.999296|1:0.000574,476,477,4,1.0,0.010526315789473684,0.020833333333333332,1.0,1.0,0.031578947368421054,0.061224489795918366,1.0,0.8,0.042105263157894736,0.07999999999999999,1.0,1.0
hybrid_top2,ann,596,597,โปรแกรมสำเร็จรูปในงานอาชีพ,4,1:0.583695|4:0.225055,599,600,1,0.0,0.0,0.0,0.0,0.6666666666666666,0.021052631578947368,0.04081632653061225,1.0,0.6,0.031578947368421054,0.060000000000000005,1.0,0.5
hybrid_top2,ann,352,353,Oracle กับเทคโนโลยียอดนิยม,12,12:0.996764|16:0.000930,347,348,12,1.0,0.022727272727272728,0.044444444444444446,1.0,1.0,0.06818181818181818,0.1276595744680851,1.0,1.0,0.11363636363636363,0.20408163265306123,1.0,1.0
